id	Definition
PWN:area_unit.n.01	sistem satuan yang digunakan untuk mengukur wilayah
PWN:argon.n.01	gas yang tidak berwarna dan tidak berbau
PWN:argument.n.03	hujah-hujah dari pemikiran
PWN:argumentation.n.02	hujah-hujah dari pemikiran
PWN:aroused.s.06	(orang) terlalu terpengaruh oleh emosi
PWN:arrival.n.02	sikap setelah tiba di tempat tertentu
PWN:arsenic.n.02	unsur logam yang sangat beracun yang memiliki tiga bentuk allotropic
PWN:artifact.n.01	suatu objek buatan manusia
PWN:asia.n.01	benua terbesar dengan 60% dari penduduk bumi
PWN:asian.n.01	penduduk atau orang asli Asia
PWN:association.n.03	keadaan menjadi terhubungkan bersama seperti dalam ingatan atau imajinasi
PWN:astatine.n.01	unsur radioaktif yang sangat tidak stabil (yang paling berat dari seri halogen)
PWN:astronomer.n.01	ilmuwan yang mempelajari astronomi
PWN:atheist.n.01	seseorang yang tidak mengakui adanya Tuhan
PWN:atom.n.01	(Fisika dan kimia) komponen terkecil dari suatu unsur
PWN:attack.n.07	suatu kejadian mendadak kondisi yang tidak terkontrol
PWN:attainment.n.01	tindakan untuk mencapai suatu tujuan
PWN:authority.n.02	seorang yang mempunyai kewenangan
PWN:authority.n.03	seorang yang mempunyai kewenangan
PWN:autonomy.n.01	kekebalan terhadapsotoritas yang sewenang-wenang
PWN:avaricious.s.01	berkeinginan untuk mendapatkan misalnya kekayaan
PWN:avaricious.s.01	berkeinginan untuk mendapatkan misalnya kekayaan
PWN:awl.n.01	penebuk lubang pada kulit
PWN:bacon.n.01	daging babi yang diasin
PWN:baked_goods.n.01	kue yang dipanggang di dalam oven/pemanggang
PWN:baldhead.n.01	orang yang berkepala botak
PWN:ball.n.10	bagian yang bulat dari sesuatu
PWN:bankruptcy.n.02	ketidakmampuan untuk melunasi seluruh hutang pada waktunya
PWN:barium.n.01	logam lunak keperakan dari kelompok alkali bumi
PWN:barley.n.02	gandum bahan pembuat bir
PWN:barrel.n.02	tong penyimpanan minuman keras
PWN:barter.v.01	menukarkan barang dengan barang
PWN:bash.n.02	majlis jamuan makan malam
PWN:battle-ax.n.01	Kapak yang digunakan dalam perang
PWN:bean_curd.n.01	makanan seperti keju yang terbuat dari susu kedelai yang mengental
PWN:beard.n.01	rambut yang tumbuh pada bagian bawah wajah seorang pria
PWN:beast_of_burden.n.01	binatang seperti keledai atau lembu atau gajah digunakan untuk mengangkut beban
PWN:beehive.n.04	sarang lebah buatan manusia
PWN:behavior.n.02	aksi/reaksi atas sesuatu (pada mesin/bahan) pada suatu kondisi tertentu
PWN:beryllium.n.01	logam yang kuat bewarna abu-abu terang beracun bivalen
PWN:beverage.n.01	minuman dari ramuan khas
PWN:beverage.n.01	minuman dari ramuan khas
PWN:bill.n.02	bentuk gaya sesuatu hasil karya seni
PWN:biological_group.n.01	kelompok tanaman atau hewan
PWN:bismuth.n.01	logam berat diamagnetic trivalen (menyerupai arsen dan antimony)
PWN:block.n.07	ketidakmampuan mengingat atau memikirkan sesuatu yang biasanya dilakukan
PWN:bodily_process.n.01	proses organik dalam tubuh
PWN:body_covering.n.01	tutupan (apa saja) untuk tubuh atau bagian tubuh
PWN:body_hair.n.01	rambut pendek yang tumbuh pada badan seseorang
PWN:body_hair.n.01	rambut pendek yang tumbuh pada badan seseorang
PWN:body_part.n.01	bagian dari suatu organisme seperti organ
PWN:body.n.01	seluruh struktur organisme (binatang, tanaman, atau manusia)
PWN:body.n.03	benda alam yang terdiri dari hewan mati atau orang
PWN:boil.n.01	borok nyeri dengan mata dan berisi nanah
PWN:bolshevik.n.02	kelompok sayap kiri Rusia yang mengikuti Lenin dan menjadi partai komunis
PWN:bone.n.01	jaringan konektif kaku yang menyusun kerangka vertebrata
PWN:braid.n.01	suatu gaya rambut yang dibentuk dengan mengepang atau memilin rambut
PWN:braid.n.01	suatu gaya rambut yang dibentuk dengan mengepang atau memilin rambut
PWN:bromine.n.01	unsur non-logam halogen cokelat tua yang volatil
PWN:bruise.n.01	tetapi mengakibatkan pemudaran warna
PWN:bump.n.01	benjolan pada tubuh disebabkan suatu pukulan
PWN:cadaver.n.01	tubuh orang yang sudah mati
PWN:cadmium.n.01	logam beracun lembut putih kebiruan liat dan bivalen
PWN:calcium.n.01	elemen logam putih yang menyala dengan cahaya cemerlang
PWN:caller.n.01	pengungkung dalam urusan bisnis
PWN:calm.v.03	menyiram kobaran api dengan air
PWN:canvas.n.03	latar belakang untuk suatu tulisan narasi atau fiksi atau drama
PWN:cap.n.05	struktur perbuahan yang menyerupai payung atau kerucut
PWN:capitalist.n.02	kapitalis [seseorang yang berinvestasi modal dalam bisnis]
PWN:capitulation.n.03	tindakan menyerah (biasanya di bawah kondisi yang disepakati)
PWN:caprice.n.01	perubahan pikiran yang tiba-tiba
PWN:carelessness.n.01	sifat tidak berhati-hati
PWN:cast.v.07	menuang ke dalam acuan
PWN:cast.v.07	menuang ke dalam acuan
PWN:catastrophe.n.02	suatu keruntuhan atau kesialan yang ekstrim (biasanya tak bisa dipulihkan)
PWN:causing.n.01	tindakan yang menyebabkan sesuatu terjadi
PWN:cavity.n.04	(anatomi) suatu rongga alami atau sinus di dalam tubuh
PWN:cerium.n.01	unsur liat berwarna abu-abu metalik dari seri lantanida
PWN:chancellor.n.02	pemegang mohor di raja
PWN:charcoal.n.01	zat karbon yang diperoleh dengan memanaskan kayu atau bahan organik lain
PWN:cheese.n.01	keju susu kambing yang kecil-kecil
PWN:childhood.n.02	keadaan seorang anak antara masa bayi dan masa remaja
PWN:chili.n.02	cabai merah yang sangat pedas
PWN:chlorine.n.01	unsur non-logam kelompok halogen
PWN:chromium.n.01	tahan terhadap korosi dan noda
PWN:circumstance.n.01	kondisi yang memengaruhi beberapa kejadian atau aktivitas
PWN:clash.n.02	suatu kondisi perseteruan antara orang
PWN:clavicle.n.01	tulang yang menghubungkan antara scapula (tulang bahu) dan sternum (tulang dada)
PWN:cleanness.n.01	keadaan tanpa kotoran atau bahan pencemar
PWN:clock.v.01	mencatat waktu dengan kronometer
PWN:coach.v.01	memberi bimbingan khusus kepada
PWN:coalition.n.02	keadaan dikombinasikan atau digabungkan ke dalam satu badan
PWN:cobalt.n.01	perak putih metalik bivalen atau trivalen
PWN:code.v.02	menulis dalam tulisan rahsia
PWN:coherence.n.01	keadaan menyatu/melekat bersama
PWN:coke.n.01	bahan bakar karbon yang dihasilkan dari destilasi batubara
PWN:cold.n.01	infeksi virus ringan pada hidung dan saluran pernapasan (bukan paru-paru)
PWN:coldness.n.02	kurangnya kasih sayang atau antusiasme
PWN:collapse.n.01	suatu kegagalan tiba-tiba pada fungsi atau keletihan fisik yang memuncak
PWN:college.n.03	suatu kompleks bangunan di mana suatu pendidikan tinggi berlangsung
PWN:collision.n.01	(Fisika) tumbukan partikel menghasilkan pertukaran energi dan perubahan arah
PWN:comb.n.02	jengger (pada ayam atau burung gallinaceous)
PWN:comfort.n.01	keadaan sedang santai dan tak ada rasa sakit
PWN:company.n.03	keadaan sedang berada dengan seseorang
PWN:compassion.n.01	simpati terhadap penderitaan orang lain
PWN:compensate.v.02	membayar ganti rugi kepada
PWN:complex.a.01	tidak tentu hulu hilirnya
PWN:concave_shape.n.01	bentuk melengkung atau belokan ke dalam
PWN:condiment.n.01	penyedap tambahan seperti mustar dan saus
PWN:condition.n.01	keadaan pada suatu waktu tertentu
PWN:cone.n.02	bentuk dasar lingkaran dengan atap yang lancip berupa titik
PWN:conflict.n.04	suatu keadaan berlawan antara orang/ide/kepentingan
PWN:confuse.v.03	menyebabkan berasa kurang senang
PWN:connection.n.07	tempat pertukaran kereta api
PWN:consecration.n.02	tanda pengakuan atas berhasilnya sesuatu karya
PWN:consequence.n.02	hasil dari suatu peristiwa
PWN:consumption.n.03	penggunaan barang dan jasa
PWN:context.n.02	serangkaian fakta atau keadaan yang melingkupi suatu situasi atau peristiwa
PWN:continuity.n.01	koneksi atau gabungan yang tidak terputus
PWN:contractile_organ.n.01	suatu organ tubuh yang dapat berkontraksi
PWN:control.n.01	kekuasaan mengarahkan atau menetapkan
PWN:control.n.05	alat pengatur menjalankan mesin
PWN:control.v.02	membagikan kawasan untuk kawalan tentara
PWN:convex_shape.n.01	bentuk melengkung atau menonjol keluar
PWN:cool.a.01	tidak hangat atau sangat dingin
PWN:copper.n.01	logam liat berwarna cokelat kemerahan tahan korosi
PWN:cosmetic.n.01	bahan-bahan untuk kecantikan
PWN:count.n.01	jumlah angka yang dihitung
PWN:count.v.01	menyebut satu demi satu
PWN:count.v.04	membilang dalam urutan membesar
PWN:cover.v.02	memakai baju tebal-tebal
PWN:cover.v.03	memakai baju tebal-tebal
PWN:cover.v.04	memakai baju tebal-tebal
PWN:cow.n.01	sapi budi daya jenis betina
PWN:craft.n.04	keterampilan dalam sebuah pekerjaan atau perdagangan
PWN:cream.n.02	bagian susu yang mengandung lemak mentega
PWN:creation.n.03	peristiwa yang terjadi pada awal sesuatu
PWN:crisis.n.01	situasi tak stabil karena bahaya ekstrim atau kesulitan
PWN:cross_off.v.01	mengambil sesuatu dari seseorang
PWN:crown.n.02	bagian dari suatu gigi di atas geraham yang diselimuti oleh enamel
PWN:culture.n.04	tumbuhan sel di makmal
PWN:curium.n.01	Unsur logam radioaktif transuranic
PWN:curvature.n.03	sifat melengkung pada garis atau permukaan
PWN:curve.n.01	jejak suatu titik yang arah geraknya menunjukkan perubahan gerak
PWN:cut.n.04	suatu pijakan pada beberapa skala
PWN:cut.n.06	potongan daging dari bangkai binatang
PWN:dainty.n.01	seorang pemilih dalam soal makanan
PWN:danger.n.01	kondisi menjadi mudah terkena terhadap kerusakan atau kecelakaan
PWN:danger.n.03	suatu penyebab rasa sakit atau cedera atau kehilangan
PWN:dark.n.01	ketiadaan cahaya atau pencahayaan
PWN:day.n.02	dari hari ke hari
PWN:day.n.09	hari ketika semua terasa baik/lancar
PWN:daze.n.01	rasa tertekan dan percaya bahwa akan terjadi sesuatu yang buruk
PWN:dead.a.01	tidak lagi memiliki kehidupan
PWN:deaf.n.01	orang-orang yang memiliki gangguan pendengaran parah
PWN:debt.n.01	keadaan berhutang sesuatu (khususnya uang)
PWN:decay.n.04	suatu keadaan kurang baik sebagai akibat dari proses pembusukan/pelapukan
PWN:decision.n.04	hasil dari permainan atau kontes
PWN:decompose.v.03	menjadi busuk atau rusak
PWN:defect.n.03	ketidaksempurnaan pada suatu obyek atau mesin
PWN:deft.s.01	ahli dalam gerakan fisik
PWN:delight.n.01	perasaan senang atau kepuasan yang ekstrim
PWN:demeanor.n.01	tingkah laku yang sopan
PWN:demoralization.n.03	depresi akibat dari melemahkan semangat
PWN:depression.n.01	putus asa tak ada kegiatan
PWN:depth.n.01	ukuran panjang ke dalam
PWN:desire.n.01	perasaan yang menyertai kondisi tidak puas
PWN:desire.n.01	perasaan yang menyertai kondisi tidak puas
PWN:detention.n.01	kondisi ditahan (biasanya jangka pendek)
PWN:develop.v.03	berkembang maju dengan pesat
PWN:develop.v.10	berkembang maju dengan pesat
PWN:development.n.07	keadaan di mana keadaan membaik
PWN:development.n.08	pemrosesan suatu bahan fotosensitif untuk menghasilkan suatu gambar
PWN:diarrhea.n.01	sering buang air besar
PWN:die.v.01	meninggalkan dunia yang fana
PWN:diffusion.n.01	proses pergerakan bahan dari konsentrasi tinggi ke konsentrasi rendah
PWN:dignity.n.03	jabatan atau peringkat atau posisi yang tinggi
PWN:dirt.n.02	keadaan tertutup oleh benda-benda yang tidak bersih
PWN:disable.v.01	menjadi tidak cakap/bisa
PWN:disappointment.n.01	rasa ketidakpuasan ketika harapan tidak terjadi
PWN:disease.n.01	suatu gangguan pada kesehatan atau kondisi berfungsi abnormal
PWN:dishonor.n.01	suatu aib atau noda
PWN:dismiss.v.01	menaruh di bawah paha
PWN:disorder.n.01	suatu kondisi fisik di mana terjadi gangguan terhadap fungsi normal
PWN:disorder.n.03	gangguan perdamaian dari ketentraman
PWN:disposal.n.03	tindakan atau cara menyingkirkan sesuatu
PWN:disposition.n.01	suasana hati Anda yang biasanya
PWN:distance.n.04	ketidakpedulian oleh penarikan pribadi
PWN:distorted_shape.n.01	bentuk yang dihasilkan dari distorsi
PWN:dome.n.01	bentuk cekung yang menghadap ke bawah
PWN:domestic_animal.n.01	berbagai hewan yang telah dijinakkan dan dibuat sesuai untuk lingkungan manusia
PWN:dominance.n.02	keadaan di mana satu orang/kelompok memiliki kekuasaan atas lainnya
PWN:dragon.n.01	makhluk mitologi Teutonik
PWN:dream.n.06	seseorang atau sesuatu yang menyenangkan
PWN:drown.v.04	membenamkan ke dalam air sehingga mati
PWN:dry.a.01	kelembapan bebas dari uap air
PWN:dryness.n.01	kondisi tidak mengandung atau tidak tertutup oleh suatu cairan (khususnya air)
PWN:dysprosium.n.01	unsur logam trivalen dari kelompok tanah jarang
PWN:ear.n.01	indera pendengaran dan keseimbangan
PWN:earlobe.n.01	bagian berdaging yang menggantung pada telinga luar manusia
PWN:edible_fruit.n.01	buah-buahan yang dapat dimakan terutama yang memiliki daging yang manis
PWN:einsteinium.n.01	transuranic unsur radioaktif yang dihasilkan oleh membombardir plutonium
PWN:elf.n.01	peri yang agak nakal
PWN:elf.n.01	peri yang agak nakal
PWN:emigration.n.01	migrasi dari suatu tempat (dari negara asal Anda untuk menetap di lain negara)
PWN:enclosure.n.01	tempat tertutup atau berbenteng
PWN:enclosure.n.03	tempat tertutup atau berbenteng
PWN:end.n.03	bagian penutup suatu kejadian
PWN:enroll.v.01	mencatat (kan) nama
PWN:envy.n.01	iri hati untuk memiliki sesuatu yang dimiliki oleh orang lain
PWN:episode.n.01	kejadian yang berbeda dalam serangkaian kegiatan terkait
PWN:erbium.n.01	unsur logam trivalen dari kelompok tanah jarang
PWN:establish.v.02	menanam sesuatu bahan implan
PWN:european.n.01	orang atau penduduk asli Eropa
PWN:europium.n.01	unsur logam trivalen dan bivalen dalam kelompok tanah jarang
PWN:evolve.v.02	berkembang maju dengan pesat
PWN:ewe.n.03	biri-biri betina dewasa
PWN:execute.v.01	menjalankan hukuman mati ke atas
PWN:expert.n.01	seseorang yang mempunyai pengetahan atau kemampuan khusus
PWN:extent.n.01	titik atau derajat di mana sesuatu dapat menjangkau
PWN:external_body_part.n.01	setiap bagian tubuh yang terlihat secara eksternal
PWN:eyebrow.n.01	lengkungan rambut di atas mata
PWN:eyelash.n.01	rambut pendek melengkung yang tumbuh dari tepi kelopak mata
PWN:fame.n.01	keadaan atau kualitas menjadi dikenal luas dan diakui
PWN:famine.n.02	kekurangan makanan yang parah (gagal panen) sehingga menyebabkan kelaparan
PWN:farewell.n.02	meninggalkan seseorang atau tempat
PWN:fatherland.n.01	tanah air tumpah darah
PWN:fear.n.01	emosi dalam mengantisipasi rasa sakit atau bahaya
PWN:fermium.n.01	Unsur logam radioaktif transuranic
PWN:fever.n.01	sering merupakan gejala infeksi
PWN:field.n.01	tanah lapang yang luas
PWN:film.v.01	membuat film atau foto
PWN:financial_condition.n.01	kondisi keuangan perusahaan atau perorangan
PWN:financial_loss.n.01	kehilangan uang akibat penurunan nilai uang
PWN:fish_cake.n.01	kue yang terbuat dari ikan dan kentang
PWN:flesh.n.01	terutama jaringan otot dan lemak
PWN:float.v.01	terapung(-apung)
PWN:float.v.01	terapung(-apung)
PWN:float.v.02	terapung(-apung)
PWN:fluorine.n.01	unsur non-logam univalen milik halogen
PWN:focus.n.04	titik pusat infeksi pada suatu organisme
PWN:foot.n.03	bagian terendah dari sesuatu
PWN:fortune.n.04	keadaan anda secara keseluruhan dalam kehidupan
PWN:fracture.n.01	patahnya jaringan yang keras
PWN:francium.n.01	unsur radioaktif dari kelompok-logam alkali
PWN:friendliness.n.01	perasaan menyukai orang lain
PWN:frisson.n.01	sensasi menyenangkan hampirsketakutan
PWN:front_tooth.n.01	sebuah gigi yang terletak di bagian depan mulut
PWN:function.n.01	(Matematika) hubungan matematika setiap elemen dari set yang diberikan
PWN:fury.n.01	keadaan seseorang yang mengamuk
PWN:gadolinium.n.01	feromagnetik trivalen dari kelompok tanah jarang
PWN:gain.n.04	jumlah pendapatan bisnis melebihi biaya operasinya
PWN:gallium.n.01	unsur logam keperakan langka (biasanya trivalen)
PWN:gamble.v.01	membahayakan diri melakukan sesuatu
PWN:gathering.n.01	mengumpulkan barang-barang yang bertabur
PWN:geological_process.n.01	proses alami di mana suatu bentukan geologi dimodifikasi
PWN:germanium.n.01	kristal rapuh abu-abu yang merupakan metalloid semikonduktor
PWN:gingiva.n.01	jaringan (dilapisi selaput lendir) pada rahang yang melingkupi dasar gigi
PWN:glider.n.01	kapal terbang tidak berenjin
PWN:goiter.n.01	pembesaran (abnormal) kelenjar tiroid karena kelebihan/kekurangan hormon atau kekurangan iodine dalam makanan
PWN:gold.n.03	logam ulet lembut kuning (trivalen, dan univalen)
PWN:good_fortune.n.01	suatu keadaan yang bagus akibat dari luaran yang menguntungkan
PWN:grace.n.01	(teologi Kristen) keadaan penyucian oleh Tuhan
PWN:gradation.n.01	posisi relatif pada suatu seri bertingkat
PWN:gradual.a.01	yang maju secara tahap demi tahap
PWN:grammatical_relation.n.01	hubungan linguistik yang dibentuk oleh tata bahasa
PWN:grateful.a.01	menyatakan rasa terima kasih
PWN:gratitude.n.01	rasa syukur dan apresiasi
PWN:grief.n.01	kesedihan yang disebabkan kehilangan orang yang dicintai (kematian)
PWN:group.n.01	sejumlah (anggota) yang dianggap sebagai satu unit
PWN:group.n.02	(Kimia) dua atau lebih atom terikat bersama sebagai satu kesatuan
PWN:growth.n.06	(patologi) perkembangbiakan jaringan (seperti pada tumor)
PWN:guilt.n.01	keadaan telah terbukti bersalah
PWN:hafnium.n.01	logam berwarna abu-abu tetravalen yang menyerupai kimia zirkonium
PWN:happening.n.01	sebuah peristiwa yang terjadi
PWN:happiness.n.01	kondisi baik yang dicirikan oleh emosi
PWN:harmony.n.03	keadaan harmonis hal-hal secara umum dan sifat-sifat mereka
PWN:hearing.n.02	kesempatan untuk menyatakan pendapat anda dan didengarkan
PWN:helium.n.01	elemen berwarna sangat ringan yang merupakan salah satu dari enam gas
PWN:helix.n.01	kurva yang terletak pada permukaan silinder atau kerucut
PWN:hell.n.03	(Kristen) tempat tinggal setan dan kekuatan jahat
PWN:hermit.n.02	seseorang yang hidup menyendiri
PWN:hiccup.n.01	kondisi kejang refleks pada diafragma diserta penutupan cepat glottis
PWN:hit.n.01	(Baseball) stroke yang berhasil dalam sebuah kontes atletik (khususnya di bisbol)
PWN:holmium.n.01	unsur logam trivalen dari kelompok tanah jarang
PWN:host.n.03	binatang / tanaman yang mendukung parasit
PWN:hostility.n.02	suatu kondisi kehilangan niat baik yang sudah berurat-akar
PWN:humid.s.01	yang mengandung banyak uap air
PWN:hunger.n.01	kebutuhan fisiologis akan makanan
PWN:identification.n.02	perbuatan menyamakan diri dengan seseorang
PWN:ill_health.n.01	keadaan di mana anda tidak dapat berfungsi secara normal dan tanpa rasa nyeri
PWN:illumination.n.02	tingkat keterlihatan lingkungan anda
PWN:imaginary_place.n.01	tempat yang ada hanya dalam imajinasi
PWN:imitate.v.01	mengekor pikiran orang lain
PWN:imitate.v.02	mengekor pikiran orang lain
PWN:imperfection.n.01	keadaan atau suatu contoh yang tidak sempurna
PWN:implementation.n.02	tindakan pelaksanaan (menyediakan sarana praktis untuk mencapai sesuatu)
PWN:impossibility.n.01	ketidakmampuan untuk berada atau terjadi
PWN:improvement.n.03	kondisi superior terhadap kondisi sebelumnya
PWN:improvise.v.01	mengatur sesuatu secara mendadak
PWN:indemnity.n.01	proteksi terhadap kehilangan pada masa depan
PWN:independence.n.01	kebebasan dari kontrol atau pengaruh orang lain
PWN:indifference.n.01	sikap tidak ambil peduli
PWN:indium.n.01	logam langka lunak keperakan
PWN:infection.n.01	kondisi patologis akibat tubuh diinvasi mikroorganisme patogen
PWN:inflammation.n.01	respons jaringan tubuh terhadap luka/iritasi
PWN:influenza.n.01	penyakit yang akut dan mudah terjangkit melalui virus
PWN:infuriate.v.01	menimbulkan kemarahan orang ramai
PWN:ingredient.n.03	bahan-bahan untuk membuat makanan
PWN:inheritance.n.01	suksesi turun temurun dari suatu properti
PWN:iniquity.n.01	ketiadaan nilai-nilai moral atau spiritual
PWN:injury.n.01	kerusakan fisik pada badan diakibatkan oleh kekerasan
PWN:institution.n.02	rumah orang-orang tua
PWN:intellectual.n.01	seseorang yang menggunakan pikiran kreatif
PWN:internal_organ.n.01	suatu organ utama yang terletak di dalam tubuh
PWN:intersection.n.03	titik atau kumpulan titik-titik dari dua atau lebih konfigurasi geometrik
PWN:interstice.n.01	ruang struktural kecil di antara jaringan atau bagian dari organ
PWN:investment.n.02	uang yang diinvestasikan dengan harapan keuntungan
PWN:iodine.n.01	unsur non-logam kelompok halogen
PWN:iridium.n.01	logam berat rapuh dalam kelompok platinum
PWN:iron.n.01	unsur logam berat magnetik
PWN:jealousy.n.01	perasaan iri (terutama dari saingan)
PWN:kerosene.n.01	minyak hidrokarbon yang mudah terbakar digunakan sebagai bahan bakar lampu
PWN:krypton.n.01	unsur berwarna yang merupakan salah satu dari enam gas inert
PWN:lack.n.01	keadaan membutuhkan sesuatu yang tidak ada atau tidak tersedia
PWN:language_unit.n.01	salah satu unit alam menjadi pesan linguistik yang dapat dianalisis
PWN:language.n.01	cara sistematis berkomunikasi dengan menggunakan suara atau simbol konvensional
PWN:lanthanum.n.01	unsur logam putih lembut
PWN:laud.v.01	memberikan pujian melangit terhadap
PWN:lawrencium.n.01	unsur radioaktif transuranic di sintesis dari californium
PWN:lead.n.02	logam berat beracun yang lembut lunak
PWN:leave.v.01	meninggalkan seseorang atau tempat
PWN:leave.v.08	meninggalkan seseorang atau tempat
PWN:lent.n.01	waktu orang Kristian berpuasa
PWN:leprosy.n.01	penyakit menular kronik terjadi di daerah tropis dan subtropis
PWN:lever.n.01	cara untuk menekan atau menjatuhkan seseorang
PWN:levy.n.01	biaya yang dikenakan dan dikumpulkan
PWN:life.n.03	tindakan dan kejadian yang terjadi dalam hidup
PWN:liking.n.01	perasaan kesenangan dan kenikmatan
PWN:limp.v.01	berjalan dengan incang-incut
PWN:liter.n.01	ukuran kapasitas setara 1.000 sentimeter kubik (atau sekitar 1,75 liter)
PWN:lithium.n.01	unsur univalen lunak perak putih dari kelompok logam alkali
PWN:longing.n.01	keinginan atau kebutuhan yang lama tidak terpenuhi
PWN:loop.n.02	sesuatu dengan bentuk bulat atau oval
PWN:loot.n.01	barang atau uang yang diperoleh secara ilegal
PWN:loss.n.02	penurunan secara bertahap dalam jumlah atau aktivitas
PWN:loss.n.06	jumlah biaya bisnis melebihi yang pendapatan
PWN:love_affair.n.01	suatu hubungan di antara dua pencinta
PWN:lover.n.01	orang yang mencintai seseorang atau dicintai oleh seseorang
PWN:lunch.n.01	makanan untuk tengah hari
PWN:lutetium.n.01	unsur logam trivalen dari kelompok tanah jarang
PWN:luxury.n.03	kekayaan yang dibuktikan dengan kehidupan yang boros/royal
PWN:magnesium.n.01	logam putih perak ulet bivalen
PWN:marital_status.n.01	kondisi menikah atau belum menikah
PWN:marriage.n.01	keadaan menjadi pasangan yang menikah untuk seumur hidup secara sukarela
PWN:matter.n.03	yang memiliki massa dan menempati ruang
PWN:mead.n.03	terbuat dari madu difermentasi dan air
PWN:medium.n.01	sarana atau perangkat untuk menyimpan atau mengomunikasikan informasi
PWN:megalomania.n.01	kondisi psikologis yang ditandai dengan khayalan kebesaran
PWN:memory.n.03	mempertahankan kekuatan dan mengingat pengalaman masa lalu
PWN:mendelevium.n.01	unsur radioaktif transuranic disintesis dengan membombardir einsteinium
PWN:mental_health.n.01	kondisi psikologis seseorang yang berfungsi pada level yang memuaskan
PWN:mental_illness.n.01	penyakit (apa saja) pada pikiran
PWN:mercantile_establishment.n.01	pusat pengedaran membuka pasaran baru
PWN:mercury.n.01	logam berat beracun berwarna keperakan univalen dan bivalen
PWN:message.n.01	komunikasi (biasanya singkat) tertulis, lisan atau isyarat
PWN:metabolism.n.02	proses organik (pada sel atau organisme) yang penting bagi kehidupan
PWN:metric_unit.n.01	satuan desimal pengukuran dari sistem metrik (berdasarkan meter, kilogram, detik
PWN:military.a.01	berkaitan dengan studi tentang prinsip-prinsip perang
PWN:mind.n.01	yang bertanggung jawab untuk satu pikiran dan perasaan
PWN:mind.n.01	yang bertanggung jawab untuk satu pikiran dan perasaan
PWN:mineral.n.01	zat padat homogen anorganik yang memiliki komposisi kimia tertentu
PWN:minority.n.01	sekelompok orang yang berbeda ras atau politik
PWN:misfortune.n.02	suatu keadaan yang tidak menyenangkan akibat dari luaran yang tidak bagus
PWN:mission.n.03	pusat pengembangan agama Kristian
PWN:molybdenum.n.01	logam polyvalent menyerupai sifat-sifat kromium dan tungsten
PWN:monster.n.01	makhluk imajiner biasanya terdiri dari sebagian manusia dan sebagian hewan
PWN:mouth.n.01	bukaan melalui mana makanan dimasukkan dan pembentukan suara terjadi
PWN:movement.n.03	peristiwa alam yang melibatkan perubahan posisi atau lokasi dari sesuatu
PWN:mule.n.01	kasut sarung untuk perempuan
PWN:multiply.v.01	membuat kira-kira darab
PWN:muscle.n.01	satu organ kontraktil pada tubuh
PWN:mush.n.02	tepung jagung yang direbus dalam air
